channelNo,date,sum_productZzimCount_diff,sum_rank_diff,sum_adRank_diff,mean_averageReviewScore_diff,sum_totalReviewCount_diff,saleSum
store_1,2022-04-29,185,508,0,4.526666666666667,536,65100
store_1,2022-04-26,188,1495,0,4.526666666666667,535,90500
store_1,2022-04-27,187,1539,0,4.526666666666667,536,69500
store_1,2022-04-25,190,1489,0,4.528333333333333,534,105400
store_1,2022-05-01,185,507,0,4.526666666666667,537,66500
store_1,2022-04-30,185,493,0,4.526666666666667,536,86100
store_1,2022-05-08,183,568,0,4.527222222222224,539,94500
store_1,2022-05-07,184,567,0,4.527222222222224,539,49700
store_1,2022-05-06,185,602,0,4.527222222222224,539,21700
store_1,2022-05-05,185,531,0,4.527222222222224,539,21700
store_1,2022-05-04,185,443,0,4.527222222222224,539,9800
store_1,2022-05-03,185,437,0,4.526666666666667,537,56700
store_1,2022-05-02,185,437,0,4.526666666666667,537,66500
store_1,2022-05-13,182,672,0,4.527222222222224,539,0
store_1,2022-05-12,182,612,0,4.527222222222224,539,43400
store_1,2022-05-15,182,851,0,4.525000000000001,541,240200
store_1,2022-05-14,182,719,0,4.526666666666667,540,49700
store_1,2022-05-09,182,547,0,4.527222222222224,539,200200
store_1,2022-05-11,181,497,0,4.527222222222224,539,92400
store_1,2022-05-10,182,494,0,4.527222222222224,539,149100
store_1,2022-05-20,184,1144,0,4.286315789473685,545,62500
store_1,2022-05-21,184,1114,0,4.286315789473685,545,29800
store_1,2022-05-22,184,2105,0,4.286315789473685,546,24700
store_1,2022-05-16,182,876,0,4.52388888888889,542,240200
store_1,2022-05-17,185,937,0,4.285263157894738,543,152600
store_1,2022-05-18,184,1324,0,4.285263157894738,544,162400
store_1,2022-05-19,184,1330,0,4.286315789473685,545,72300
store_1,2022-05-28,183,1306,0,4.286842105263159,548,19600
store_1,2022-05-23,184,1531,0,4.286315789473685,546,44300
store_1,2022-05-29,184,1228,0,4.286315789473685,549,19600
store_1,2022-05-26,184,1129,0,4.286842105263159,548,43400
store_1,2022-05-27,183,1325,0,4.286842105263159,548,43400
store_1,2022-05-24,184,1422,0,4.286842105263159,548,122700
store_1,2022-05-25,183,1249,0,4.286842105263159,548,98000
store_1,2022-06-02,185,990,0,4.286842105263158,553,156400
store_1,2022-06-01,186,1016,0,4.286315789473685,551,138900
store_1,2022-05-30,184,1070,0,4.286315789473685,550,9800
store_1,2022-05-31,186,988,0,4.286315789473685,551,21700
store_1,2022-06-08,184,958,0,4.286842105263158,556,56700
store_1,2022-06-15,184,1075,0,4.497894736842106,558,19600
store_1,2022-06-22,189,993,0,4.49842105263158,559,0
store_1,2022-06-29,190,912,0,4.498947368421054,562,9800
store_1,2022-07-06,189,855,0,4.498947368421054,563,29400
store_1,2022-07-13,187,80,0,4.497894736842106,566,48600
store_1,2022-07-20,183,64,0,4.497894736842106,568,19600
store_1,2022-07-27,183,1023,0,4.07,572,29400
store_1,2022-08-03,186,434,0,4.30857142857143,579,53800
store_1,2022-08-10,189,210,0,4.309523809523811,585,135100
store_1,2022-08-17,191,942,0,4.593809523809525,595,85500
store_1,2022-08-24,193,167,0,4.53,600,87900
store_1,2022-08-31,195,239,0,4.528571428571429,605,190100
store_1,2022-09-07,197,461,0,4.524285714285715,608,52200
store_1,2022-09-14,197,168,0,4.517142857142858,614,65500
store_1,2022-09-21,194,386,0,4.515238095238096,618,22700
store_1,2022-09-28,194,324,0,4.515714285714286,621,61200
store_1,2022-10-05,193,323,0,4.511428571428572,629,23700
store_1,2022-10-12,193,444,0,4.50952380952381,632,35900
store_1,2022-10-19,194,611,0,4.50952380952381,632,0
store_1,2022-10-26,192,938,0,4.510952380952382,633,8400
store_1,2022-11-03,182,777,0,4.509047619047619,636,45500
store_1,2022-11-02,182,767,0,4.509047619047619,636,0
store_1,2022-11-05,182,763,0,4.509047619047619,638,160800
store_1,2022-11-04,182,740,0,4.509047619047619,638,45500
store_1,2022-11-06,182,420,0,4.509047619047619,638,170600
